"","series","SYMBOL","Nrows","siMin","siMax","siMean"
"1","ABBAYE","ACSA3",1,64.5925742938399,64.5925742938399,64.5925742938399
"2","Adams","ACSA3",1,68.5867560206455,68.5867560206455,68.5867560206455
"3","ADAMS","PIST",1,78.8935483991617,78.8935483991617,78.8935483991617
"4","AGAWAM","PIST",1,64.5925742938399,64.5925742938399,64.5925742938399
"5","ALCONA","ACRU",1,68.5867560206455,68.5867560206455,68.5867560206455
"6","ALCONA","ACSA3",2,59.6264611858368,64.5925742938399,62.0598632291832
"7","ALCONA","BEAL2",1,70.6755337106378,70.6755337106378,70.6755337106378
"8","ALCONA","QURU",1,70.6755337106378,70.6755337106378,70.6755337106378
"9","ALLENDALE","POGR4",1,76.5618916697595,76.5618916697595,76.5618916697595
"10","ALPENA","BEPA",2,47.8513559576141,48.8180174700552,48.3322700801922
"11","ALPENA","PIRE",1,30.8180160349173,30.8180160349173,30.8180160349173
"12","ALPENA","POGR4",1,56.7184443588177,56.7184443588177,56.7184443588177
"13","ALPENA","THOC2",2,28.7345276927193,36.8958638939693,32.5604856046107
"14","ANGELICA","ABBA",2,52.883926994841,52.883926994841,52.883926994841
"15","ANGELICA","FRAM2",2,54.4944823451007,79.6864417424362,65.8974308503532
"16","ANGELICA","LALA",1,47.8513559576141,47.8513559576141,47.8513559576141
"17","ANGELICA","PIGL",1,46.9038356255827,46.9038356255827,46.9038356255827
"18","ANGELICA","THOC2",1,38.7875552875537,38.7875552875537,38.7875552875537
"19","ARKPORT","ACRU",1,68.5867560206455,68.5867560206455,68.5867560206455
"20","ARKPORT","BEPA",1,85.4643607038003,85.4643607038003,85.4643607038003
"21","ARKPORT","POGR4",2,70.6755337106378,71.3858346331925,71.0297962976117
"22","ARKPORT","QUAL",1,46.9038356255827,46.9038356255827,46.9038356255827
"23","ARKPORT","QURU",2,52.883926994841,77.3313514733206,63.949867441047
"24","ARNOT","QURU",1,51.8367550795945,51.8367550795945,51.8367550795945
"25","ASSININS","ACRU",1,67.9043063956348,67.9043063956348,67.9043063956348
"26","AU GRES","ACRU",2,62.6835752238571,66.5597110408167,64.5925742938399
"27","AU GRES","BEPA",1,75.8000881191673,75.8000881191673,75.8000881191673
"28","AU GRES","PIBA2",2,58.445778148334,59.6264611858368,59.0331679840889
"29","AU GRES","PIGL",1,45.9750774531943,45.9750774531943,45.9750774531943
"30","AU GRES","PIRE",3,60.8309956028441,69.9723004003507,66.3382147029995
"31","AU GRES","PIST",1,49.8042068403999,49.8042068403999,49.8042068403999
"32","AU GRES","POGR4",1,66.5597110408167,66.5597110408167,66.5597110408167
"33","AU GRES","POTR5",2,69.9723004003507,78.8935483991617,74.2991458109429
"34","AU GRES","QURU",2,55.5953439125362,65.8974308503532,60.527599746545
"35","BATH","QUPR2",1,64.5925742938399,64.5925742938399,64.5925742938399
"36","BATH","QURU",2,61.4423572725489,62.6835752238571,62.0598632291832
"37","BATTYDOE","ACSA3",1,67.9043063956348,67.9043063956348,67.9043063956348
"38","BENONA","ACSA3",2,57.8642329390988,62.6835752238571,60.2257170833921
"39","BENONA","QUAL",2,43.7328464671777,49.8042068403999,46.6699017694571
"40","BENONA","QURU",2,43.7328464671777,55.5953439125362,49.3086467023471
"41","BENSON","ACSA3",1,44.6163085689991,44.6163085689991,44.6163085689991
"42","BENSON","FAGR",1,48.8180174700552,48.8180174700552,48.8180174700552
"43","BENSON","FRAM2",1,48.8180174700552,48.8180174700552,48.8180174700552
"44","BENSON","QURU",1,46.9038356255827,46.9038356255827,46.9038356255827
"45","BENZONIA","PIRE",1,55.5953439125362,55.5953439125362,55.5953439125362
"46","BENZONIA","PIST",1,61.4423572725489,61.4423572725489,61.4423572725489
"47","BLUE LAKE","ACSA3",7,58.445778148334,75.8000881191673,65.1486045130354
"48","BLUE LAKE","POGR4",4,65.8974308503532,106.495151167532,90.7491816224303
"49","BLUE LAKE","POTR5",1,64.5925742938399,64.5925742938399,64.5925742938399
"50","BONDUEL","PIRE",1,37.6412097860723,37.6412097860723,37.6412097860723
"51","BONDUEL","THOC2",1,34.7472160512919,34.7472160512919,34.7472160512919
"52","BOOTS","ACRU",1,27.8852940580253,27.8852940580253,27.8852940580253
"53","BOOTS","POTR5",1,29.9072060139118,29.9072060139118,29.9072060139118
"54","BOOTS","THOC2",1,36.8958638939693,36.8958638939693,36.8958638939693
"55","BOWERS","BEPA",1,54.4944823451007,54.4944823451007,54.4944823451007
"56","BOWERS","POTR5",1,56.7184443588177,56.7184443588177,56.7184443588177
"57","BOYER","PIST",2,44.6163085689991,44.6163085689991,44.6163085689991
"58","BOYER","QURU",1,61.4423572725489,61.4423572725489,61.4423572725489
"59","BOYER","THOC2",2,36.8958638939693,39.9688122070324,38.4016126639792
"60","BREMS","QUEL",1,58.445778148334,58.445778148334,58.445778148334
"61","Brethren","PIRE",1,60.8309956028441,60.8309956028441,60.8309956028441
"62","BRIGGSVILLE","QURU",1,59.6264611858368,59.6264611858368,59.6264611858368
"63","CARBONDALE","ABBA",2,50.8103185575457,50.8103185575457,50.8103185575457
"64","CARBONDALE","ACSA2",2,73.5598569578292,73.5598569578292,73.5598569578292
"65","CARBONDALE","FRAM2",1,76.5618916697595,76.5618916697595,76.5618916697595
"66","CARBONDALE","PIGL",1,33.7202806202213,33.7202806202213,33.7202806202213
"67","CARBONDALE","THOC2",1,30.8180160349173,30.8180160349173,30.8180160349173
"68","CARLISLE","ACRU",1,92.5824366975348,92.5824366975348,92.5824366975348
"69","CARLISLE","THOC2",1,37.6412097860723,37.6412097860723,37.6412097860723
"70","CASCO","PIRE",1,38.7875552875537,38.7875552875537,38.7875552875537
"71","CASCO","QUEL",1,42.8668780870556,42.8668780870556,42.8668780870556
"72","CATHRO","ACRU",1,50.8103185575457,50.8103185575457,50.8103185575457
"73","CATHRO","BEPA",1,62.6835752238571,62.6835752238571,62.6835752238571
"74","CATHRO","POTR5",1,58.445778148334,58.445778148334,58.445778148334
"75","CERESCO","QURU",1,67.9043063956348,67.9043063956348,67.9043063956348
"76","CHANNAHON","THOC2",1,32.7236957178961,32.7236957178961,32.7236957178961
"77","CHEBOYGAN","ACSA3",3,59.6264611858368,72.8279241517114,64.3776241621078
"78","CHEBOYGAN","FRAM2",1,79.6864417424362,79.6864417424362,79.6864417424362
"79","CHEBOYGAN","POGR4",1,82.9385071225817,82.9385071225817,82.9385071225817
"80","CHELSEA","PIST",1,56.7184443588177,56.7184443588177,56.7184443588177
"81","CHELSEA","QUAL",1,56.7184443588177,56.7184443588177,56.7184443588177
"82","CHELSEA","QUVE",1,56.7184443588177,56.7184443588177,56.7184443588177
"83","CHIPPEWA","FRAM2",1,70.6755337106378,70.6755337106378,70.6755337106378
"84","COLOMA","PIST",1,63.949867441047,63.949867441047,63.949867441047
"85","COLOMA","PRSE2",1,50.8103185575457,50.8103185575457,50.8103185575457
"86","COLOMA","QUAL",1,41.5999703767516,41.5999703767516,41.5999703767516
