"","fips","Warm","Cold","ppt","series","SYMBOL","SI_m","SI_ft"
"137",26009,14.8,-12.19,780.550937126804,"DEER PARK","ABBA",13.4503986591922,44.1286045249088
"307",26009,14.8,-12.19,780.550937126804,"KINROSS","ABBA",13.9252678655507,45.6865743620431
"171",26009,14.8,-12.19,780.550937126804,"EAST LAKE","ABBA",14.6113955069851,47.9376493011322
"120",26009,14.8,-12.19,780.550937126804,"DAWSON","ABBA",14.7098520909862,48.2606695898499
"341",26009,14.8,-12.19,780.550937126804,"LUPTON","ABBA",14.9092691490346,48.914925029641
"324",26009,14.8,-12.19,780.550937126804,"LEELANAU","ABBA",14.9126009651712,48.9258561849449
"426",26009,14.8,-12.19,780.550937126804,"OTISCO","ABBA",15.6368567399383,51.3020234249945
"477",26009,14.8,-12.19,780.550937126804,"TAWAS","ABBA",16.0814585206351,52.7606906844984
"69",26009,14.8,-12.19,780.550937126804,"CATHRO","ABBA",16.2788483289809,53.4082950425881
"18",26009,14.8,-12.19,780.550937126804,"ANGELICA","ABBA",16.6149348459583,54.5109410956638
"443",26009,14.8,-12.19,780.550937126804,"RUBICON","ABBA",16.6578948239285,54.6518859052771
"35",26009,14.8,-12.19,780.550937126804,"AU GRES","ABBA",16.9293416090552,55.542459347294
"358",26009,14.8,-12.19,780.550937126804,"MANCELONA","ABBA",17.0562802127447,55.9589245824958
"290",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","ABBA",17.5167843296037,57.4697648609047
"392",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","ABBA",17.6993492198896,58.0687310363831
"103",26009,14.8,-12.19,780.550937126804,"CROSWELL","ABBA",17.8718132214747,58.6345578132372
"222",26009,14.8,-12.19,780.550937126804,"HALFADAY","ABBA",18.0338977558371,59.166331219938
"273",26009,14.8,-12.19,780.550937126804,"KALKASKA","ABBA",18.1254837335523,59.4668101494498
"1",26009,14.8,-12.19,780.550937126804,"ALLENDALE","ABBA",18.4003863794169,60.3687217172471
"239",26009,14.8,-12.19,780.550937126804,"IOSCO","ABBA",18.4362395677205,60.4863502877969
"205",26009,14.8,-12.19,780.550937126804,"ENSLEY","ABBA",18.4419002652542,60.504922130099
"154",26009,14.8,-12.19,780.550937126804,"DEFORD","ABBA",18.5542578016917,60.8735492181487
"409",26009,14.8,-12.19,780.550937126804,"ONAWAY","ABBA",18.6199533759028,61.0890858789461
